,date,Gross Sales,Discounts,Net Sales,Tax,Total Collected,Cash,Card,PayPay
227,2019-01-01,1213,0,1213,97,1310,1310,0,0
228,2019-01-01,917,0,917,73,990,990,0,0
229,2019-01-01,482,0,482,38,520,520,0,0
230,2019-01-01,510,0,510,40,550,550,0,0
231,2019-01-01,806,0,806,64,870,870,0,0
232,2019-01-01,1241,0,1241,99,1340,1340,0,0
233,2019-01-01,232,0,232,18,250,250,0,0
234,2019-01-01,917,0,917,73,990,990,0,0
235,2019-01-01,1075,0,1075,85,1160,1160,0,0
236,2019-01-01,769,0,769,61,830,830,0,0
237,2019-01-01,1815,0,1815,145,1960,1960,0,0
238,2019-01-01,315,0,315,25,340,340,0,0
239,2019-01-01,278,0,278,22,300,300,0,0
240,2019-01-01,1288,0,1288,102,1390,1390,0,0
241,2019-01-01,723,0,723,57,780,780,0,0
242,2019-01-01,2001,0,2001,159,2160,2160,0,0
243,2019-01-01,676,0,676,54,730,730,0,0
244,2019-01-01,1121,0,1121,89,1210,1210,0,0
245,2019-01-01,1815,0,1815,145,1960,1960,0,0
246,2019-01-01,371,0,371,29,400,400,0,0
247,2019-01-01,1001,0,1001,79,1080,1080,0,0
248,2019-01-01,620,0,620,40,660,660,0,0
249,2019-01-02,-1815,0,-1815,-145,-1960,-1960,0,0
250,2019-01-02,649,0,649,51,700,700,0,0
251,2019-01-02,917,0,917,73,990,990,0,0
252,2019-01-02,1019,0,1019,81,1100,1100,0,0
253,2019-01-02,2038,0,2038,162,2200,2200,0,0
254,2019-01-02,1815,0,1815,145,1960,1960,0,0
255,2019-01-02,1167,0,1167,93,1260,1260,0,0
256,2019-01-02,232,0,232,18,250,250,0,0
257,2019-01-02,1176,0,1176,94,1270,1270,0,0
258,2019-01-02,3693,0,3693,277,3970,3970,0,0
259,2019-01-02,1065,0,1065,85,1150,1150,0,0
260,2019-01-02,1149,0,1149,91,1240,1240,0,0
261,2019-01-02,931,0,931,74,1005,1005,0,0
262,2019-01-02,1028,0,1028,82,1110,1110,0,0
263,2019-01-02,1454,0,1454,116,1570,1570,0,0
264,2019-01-02,1334,0,1334,106,1440,1440,0,0
265,2019-01-02,1815,0,1815,145,1960,1960,0,0
266,2019-01-02,1806,0,1806,144,1950,1950,0,0
267,2019-01-02,963,0,963,77,1040,1040,0,0
268,2019-01-02,1815,0,1815,145,1960,1960,0,0
269,2019-01-02,1047,0,1047,83,1130,1130,0,0
270,2019-01-02,1815,0,1815,145,1960,1960,0,0
271,2019-01-02,1010,0,1010,80,1090,1090,0,0
272,2019-01-02,1510,0,1510,120,1630,1630,0,0
273,2019-01-02,1815,0,1815,145,1960,1960,0,0
274,2019-01-02,1380,0,1380,110,1490,1490,0,0
275,2019-01-02,769,0,769,61,830,0,830,0
276,2019-01-02,2167,0,2167,173,2340,2340,0,0
277,2019-01-02,612,0,612,48,660,660,0,0
278,2019-01-02,482,0,482,38,520,520,0,0
279,2019-01-02,565,0,565,45,610,610,0,0
280,2019-01-02,786,0,786,54,840,840,0,0
281,2019-01-02,565,0,565,45,610,610,0,0
282,2019-01-02,334,0,334,26,360,360,0,0
283,2019-01-02,823,0,823,57,880,880,0,0
284,2019-01-02,306,0,306,24,330,330,0,0
285,2019-01-02,731,0,731,49,780,780,0,0
286,2019-01-02,538,0,538,42,580,580,0,0
287,2019-01-02,2195,0,2195,175,2370,2370,0,0
288,2019-01-02,639,0,639,51,690,690,0,0
289,2019-01-02,102,0,102,8,110,110,0,0
290,2019-01-02,1176,0,1176,94,1270,1270,0,0
291,2019-01-02,2019,0,2019,161,2180,2180,0,0
292,2019-01-02,908,0,908,72,980,0,980,0
293,2019-01-02,-491,0,-491,-39,-530,0,-530,0
294,2019-01-02,769,0,769,61,830,830,0,0
295,2019-01-02,686,0,686,54,740,740,0,0
296,2019-01-02,593,0,593,47,640,640,0,0
297,2019-01-02,880,0,880,70,950,950,0,0
298,2019-01-02,3630,0,3630,290,3920,3920,0,0
299,2019-01-02,1815,0,1815,145,1960,1960,0,0
300,2019-01-02,528,0,528,42,570,570,0,0
301,2019-01-02,463,0,463,37,500,500,0,0
302,2019-01-02,602,0,602,48,650,650,0,0
303,2019-01-02,908,0,908,72,980,980,0,0
304,2019-01-02,1399,0,1399,111,1510,1510,0,0
305,2019-01-02,371,0,371,29,400,400,0,0
306,2019-01-02,306,0,306,24,330,330,0,0
307,2019-01-02,1510,0,1510,120,1630,1630,0,0
308,2019-01-02,695,0,695,55,750,750,0,0
309,2019-01-02,908,0,908,72,980,980,0,0
310,2019-01-02,1139,0,1139,91,1230,1230,0,0
311,2019-01-02,935,0,935,65,1000,1000,0,0
312,2019-01-02,47,0,47,3,50,50,0,0
313,2019-01-02,1139,0,1139,91,1230,1230,0,0
314,2019-01-02,1213,0,1213,97,1310,1310,0,0
315,2019-01-02,306,0,306,24,330,330,0,0
316,2019-01-02,1815,0,1815,145,1960,1960,0,0
317,2019-01-02,649,0,649,51,700,700,0,0
318,2019-01-02,667,0,667,53,720,720,0,0
319,2019-01-02,389,0,389,31,420,420,0,0
320,2019-01-02,2936,0,2936,234,3170,0,3170,0
321,2019-01-02,2112,0,2112,168,2280,2280,0,0
322,2019-01-02,1028,0,1028,82,1110,1110,0,0
323,2019-01-02,1815,0,1815,145,1960,1960,0,0
324,2019-01-02,2723,0,2723,217,2940,2940,0,0
325,2019-01-02,1408,0,1408,112,1520,1520,0,0
326,2019-01-02,908,0,908,72,980,980,0,0
327,2019-01-02,343,0,343,27,370,370,0,0
328,2019-01-02,3602,0,3602,288,3890,3890,0,0
329,2019-01-02,399,0,399,31,430,430,0,0
330,2019-01-02,649,0,649,51,700,700,0,0
331,2019-01-02,1010,0,1010,80,1090,1090,0,0
332,2019-01-02,371,0,371,29,400,400,0,0
333,2019-01-02,399,0,399,31,430,430,0,0
334,2019-01-02,713,0,713,57,770,770,0,0
335,2019-01-02,362,0,362,28,390,390,0,0
336,2019-01-02,2498,0,2498,182,2680,2680,0,0
337,2019-01-02,325,0,325,25,350,350,0,0
338,2019-01-02,1297,0,1297,103,1400,1400,0,0
339,2019-01-02,1649,0,1649,131,1780,1780,0,0
340,2019-01-02,435,0,435,25,460,460,0,0
341,2019-01-02,1102,0,1102,88,1190,1190,0,0
342,2019-01-02,452,0,452,18,470,470,0,0
343,2019-01-02,334,0,334,26,360,360,0,0
344,2019-01-02,639,0,639,51,690,690,0,0
345,2019-01-02,639,0,639,51,690,690,0,0
346,2019-01-02,954,0,954,76,1030,1030,0,0
347,2019-01-02,908,0,908,72,980,980,0,0
348,2019-01-02,1130,0,1130,90,1220,1220,0,0
349,2019-01-02,565,0,565,45,610,610,0,0
350,2019-01-02,1010,0,1010,80,1090,1090,0,0
351,2019-01-02,2815,0,2815,225,3040,3040,0,0
352,2019-01-02,2093,0,2093,167,2260,2260,0,0
353,2019-01-02,352,0,352,28,380,380,0,0
354,2019-01-02,362,0,362,28,390,390,0,0
355,2019-01-02,112,0,112,8,120,120,0,0
356,2019-01-02,1159,0,1159,93,1252,1252,0,0
357,2019-01-02,991,0,991,79,1070,1070,0,0
358,2019-01-02,1343,0,1343,107,1450,1450,0,0
359,2019-01-02,1241,0,1241,99,1340,0,1340,0
360,2019-01-02,195,0,195,15,210,210,0,0
361,2019-01-02,1056,0,1056,84,1140,1140,0,0
362,2019-01-02,1889,0,1889,151,2040,2040,0,0
363,2019-01-02,1019,0,1019,81,1100,1100,0,0
364,2019-01-02,362,0,362,28,390,390,0,0
365,2019-01-02,880,0,880,70,950,950,0,0
366,2019-01-02,2251,0,2251,179,2430,2430,0,0
367,2019-01-02,788,0,788,62,850,850,0,0
368,2019-01-02,695,0,695,55,750,750,0,0
369,2019-01-02,167,0,167,13,180,180,0,0
