Flight Number,Date,Time (UTC),Booster Version,Launch Site,Payload,Payload Mass (kg),Orbit,Customer,Mission Outcome,Landing Outcome
31,2016-06-15,14:29:00,Falcon 9,CCAFS SLC 40,ABS-2A,3950.0,GTO,'ABS',True,False
32,2016-07-18,04:45:00,Falcon 9,CCAFS SLC 40,CRS-9,2257.0,4976,False,True,True
33,2016-08-14,05:26:00,Falcon 9,CCAFS SLC 40,JCSAT-16,10100.0,GTO,'SKY Perfect JCSAT Group',True,True
34,2016-09-01,13:07:00,Falcon 9,CCAFS SLC 40,Amos-6,12100.0,GTO,'Spacecom',False,
35,2017-01-14,17:54:00,Falcon 9,VAFB SLC 4E,Iridium NEXT 1,21200.0,PO,'Iridium Communications',True,True
36,2017-02-19,14:39:00,Falcon 9,KSC LC 39A,CRS-10,2490.0,5490,False,True,True
37,2017-03-16,06:00:00,Falcon 9,KSC LC 39A,EchoStar 23,12399.0,GTO,'EchoStar',True,
38,2017-03-30,22:27:00,Falcon 9,KSC LC 39A,SES-10,11700.0,GTO,'SES',True,True
39,2017-05-01,11:15:00,Falcon 9,KSC LC 39A,NROL-76,,LEO,'NRO',True,True
40,2017-05-15,23:21:00,Falcon 9,KSC LC 39A,Inmarsat-5 F4,13380.0,GTO,'Inmarsat',True,
41,2017-06-03,21:07:00,Falcon 9,KSC LC 39A,CRS-11,2708.0,5970,True,True,True
42,2017-06-23,19:10:00,Falcon 9,KSC LC 39A,BulgariaSat-1,8089.0,GTO,'Bulgaria Sat',True,True
43,2017-06-25,20:25:00,Falcon 9,VAFB SLC 4E,Iridium NEXT 2,21164.0,PO,'Iridium Communications',True,True
44,2017-07-05,23:35:00,Falcon 9,KSC LC 39A,Intelsat 35e,14905.45,GTO,'Intelsat',True,
45,2017-08-14,16:31:00,Falcon 9,KSC LC 39A,CRS-12,2910.0,6415.5,C113,True,True
46,2017-08-24,18:50:00,Falcon 9,VAFB SLC 4E,FormoSat-5,1047.0,SSO,'NSPO (Taiwan)',True,True
47,2017-09-07,13:50:00,Falcon 9,KSC LC 39A,X-37B OTV-5,11001.0,LEO,'USAF',True,True
48,2017-10-09,12:37:00,Falcon 9,VAFB SLC 4E,Iridium NEXT 3,21164.4,PO,'Iridium Communications',True,True
