,song,text,Album,autor,duración,Año,Reproducciones,URL
27,Hair,"Ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, oh  Ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, whoa    Whenever I'm dressed cool  My parents put up a fight  (Uh huh, uh huh)  And if I'm hot shot  Mom will cut my hair at night  (Uh huh, uh huh)    And in the morning  I'm short of my identity  (Uh huh, uh huh)  I scream Mom and Dad  Why can't I be who I wanna be?  (Uh huh, uh huh) to be    I just wanna be myself  And I want you to love me for who I am  I just wanna be myself  And I want you to know, I am my hair    [Chorus]  I've had enough, this is my prayer  That I'll die living just as free as my hair  I've had enough, this is my prayer  That I'll die living just as free as my hair  I've had enough, I'm not a freak  I'm just here trying to stay cool on the streets  I've had enough, enough, enough  And this is my prayer, I swear  I'm as free as my hair  I'm as free as my hair  I am my hair, I am my hair    Free as my hair, hair, hair  Hair, hair, ha-ha-ha-hair  Hair, hair, hair  Hair, hair, ha-ha-ha-hair    Free as my hair, hair, hair  Hair, hair, ha-ha-ha-hair  Hair, hair, hair  Hair, hair, ha-ha-ha-hair    Sometimes I waltz around  Put on red highlights  Just because I want my friends  To think I'm dynamite    And on Friday rocks in  High school dance  I got my bangs too hot  That I don't stand a chance, a chance    I just wanna be myself  And I want you to love me for who I am  I just wanna be myself  And I want you to know, I am my hair    [Chorus]    Free as my hair, hair, hair  Hair, hair, ha-ha-ha-hair  Hair, hair, hair  Hair, hair, ha-ha-ha-hair    Free as my hair, hair, hair  Hair, hair, ha-ha-ha-hair  Hair, hair, hair  Hair, hair, ha-ha-ha-hair    I just want to be free, I just want to be me  And I want lots of friends that invite me to their parties  Don't wanna change, and I don't wanna be ashamed  I'm the spirit of my hair, it's all the glory that I bare    I am my hair, I am my hair  I am my hair, I am my hair  I am my hair, I am my hair  I am my hair, I am my hair  It's all the glory that I bare    I am my hair, I am my hair  I am a hair, yeah  It's all the glory that I bare  I am my hair, I am my hair  I'm my hair, yeah, yeah  (All the glory that I bare)  I'm my hair, yeah, yeah  (All the glory that I bare)  I'm my hair, yeah, yeah  (All the glory that I bare)  My hair, yeah, yeah, yeah    [Chorus]    Ooh, my hair, my hair",Born this Way,Lady Gaga y RedOne,5:08,2011,54617900,https://www.last.fm/music/Lady+Gaga/Born+This+Way
28,Heavy Metal Lover,"(Heavy metal lover, heavy metal lover)    I want your whiskey mouth  All over my blond self  Red wine, cheap perfume  And a filthy pout    Tonight bring all your friends  Because a group does it better  Love is down with a dance  Let's have a full house of leather    [Repeat: x2]  Ooh, ooh, ooh, ooh, ooh  Ooh, ooh, ooh, ooh, ooh, ooh ooh  Heavy metal lover    Dirty pony, I  Can't wait to hose you down  You've got to earn your love  Down in this part of town    Dirty girls, in a patch  Follow the Remington Rebels  Let's raise hell in the streets  Drink beer and get into trouble    [Repeat: x2]  Ooh, ooh, ooh, ooh, ooh  Ooh, ooh, ooh, ooh, ooh, ooh ooh  Heavy metal lover    I could be your girl  Girl, girl, girl, girl, girl  But would you love me  If I ruled the world, world, world    Ooh, ooh, ooh, ooh, ooh  Ooh, ooh, ooh, ooh, ooh, ooh ooh  Heavy metal lover    Women slap it, go fuck  New York clappers, go drunk  Black like vicars, go slow  Move your pieces, you're junk    Porsche and drivers, same Jane  You're so hot, but not to taste  Happy lovers on display  Baby, we were born this way    [Repeat: x2]  Ooh, ooh, ooh, ooh, ooh  Ooh, ooh, ooh, ooh  Ooh, ooh, ooh, ooh, ooh, ooh    [Repeat: x2]  Ooh, ooh, ooh, ooh, ooh  Ooh, ooh, ooh, ooh, ooh, ooh ooh  Heavy metal lover    I could be your girl  Girl, girl, girl, girl, girl  But would you love me  If I ruled the world, world, world    Ooh, ooh, ooh, ooh, ooh  Ooh, ooh, ooh, ooh, ooh, ooh ooh  Heavy metal lover    (Heavy metal lover)",Born this Way,Lady Gaga y Fernando Garibay,4:12,2011,54617900,https://www.last.fm/music/Lady+Gaga/Born+This+Way
29,Joanne,"[Verse 1]  Take my hand, stay Joanne  Heaven's not  Ready for you  Every part  Of my aching heart  Needs you more  Than the angels do    [Chorus]  Girl  Where do you think you're goin'?  Where do you think you're goin'  Goin', girl?  Girl  Where do you think you're goin'?  Where do you think you're goin'  Goin', girl?  [Verse 2]  If you could  I know that you'd stay  We both know  Things don't work that way  I promised I  Wouldn't say goodbye  So I grin  And my voice gets thin    [Chorus]  Girl  Where do you think you're goin'?  Where do you think you're goin'  Goin', girl?  Girl  Where do you think you're goin'?  Where do you think you're goin'  Goin', girl?    [Bridge]  Honestly, I know where you're goin'  And baby, you're just movin' on  And I'll still love you even if I can't  See you anymore  Can't wait to see you soar    [Chorus]  Girl  Where do you think you're goin'?  Where do you think you're goin'  Goin', girl?  Girl  Where do you think you're goin'?  Where do you think you're goin'  Goin', girl?",Joanne,"Lady Gaga, Mark Ronson",3:17,2016,16651869,https://www.last.fm/music/Lady+Gaga/JOANNE+(Deluxe)
30,John Wayne,"[Intro: Spoken]  It's like, I just love a cowboy  You know  I'm just like, I just, I know, it's bad  But I'm just like  Can I just like, hang off the back of your horse  And can you go a little faster?!    [Verse 1]  3 am, mustang speedin'  Two lovers, headed for a dead end  Too fast, hold tight, he laughs  Runnin' through the red lights  Hollerin' over, rubber spinnin'  Big swig, toss another beer can  Too lit, tonight, prayin'  On the moonlight  [Pre-Chorus]  Every John is just the same  I'm sick of their city games  I crave a real wild man  I'm strung out on John Wayne    [Chorus]  (dat - doo - deet - doe)  (dat - doo - deet - doe, dat - doo - deet - doe)  Baby let's get high, John Wayne  (dat - doo - deet - doe)  (dat - doo - deet - doe, dat - doo - deet - doe)  Baby let's get high, John Wayne    [Verse 2]  Blue collar and a red-state treasure  Love junkie on a three-day bender  His grip, so hard, eyes glare  Trouble like a mug shot  Charged up, 'cause the man's on a mission  1-2 ya, the gears are shiftin'  He called, I cried, we broke  Racin' through the moonlight    [Pre-Chorus]  Every John is just the same  I'm sick of their city games  I crave a real wild man  I'm strung out on John Wayne    [Chorus]  (dat - doo - deet - doe)  (dat - doo - deet - doe, dat - doo - deet - doe)  Baby let's get high, John Wayne  (dat - doo - deet - doe)  (dat - doo - deet - doe, dat - doo - deet - doe)  Baby let's get high, John Wayne    [Bridge]  So here I go  To the eye  Of the storm  Just to feel your love  Knock me over  Here I go  Into our love storm    [Chorus]  (dat - doo - deet - doe)  (dat - doo - deet - doe, dat - doo - deet - doe)  Baby let's get high, John Wayne  (dat - doo - deet - doe)  (dat - doo - deet - doe, dat - doo - deet - doe)  Baby let's get high, John Wayne",Joanne,"Lady Gaga, Mark Ronson, BloodPop, Josh Homme",2:54,2016,16651869,https://www.last.fm/music/Lady+Gaga/JOANNE+(Deluxe)
31,Million Reasons,"[Verse 1]  You're giving me a million reasons to let you go  You're giving me a million reasons to quit the show  You're givin' me a million reasons  Give me a million reasons  Givin' me a million reasons  About a million reasons    If I had a highway, I would run for the hills  If you could find a dry way, I'd forever be still  But you're giving me a million reasons  Give me a million reasons  Givin' me a million reasons  About a million reasons  [Chorus]  I bow down to pray  I try to make the worst seem better  Lord, show me the way  To cut through all his worn out leather  I've got a hundred million reasons to walk away  But baby, I just need one good one to stay    [Verse 2]  Head stuck in a cycle, I look off and I stare  It's like that I've stopped breathing, but completely aware  'Cause you're giving me a million reasons  Give me a million reasons  Givin' me a million reasons  About a million reasons    And if you say something that you might even mean  It's hard to even fathom which parts I should believe  'Cause you're giving me a million reasons  Give me a million reasons  Givin' me a million reasons  About a million reasons    [Chorus]  I bow down to pray  I try to make the worst seem better  Lord, show me the way  To cut through all his worn out leather  I've got a hundred million reasons to walk away  But baby, I just need one good one to stay    [Bridge]  Hey, ehh, ehh, eyy  Baby I'm bleedin', bleedin'  Stay, ehh, ehhy  Can't you give me what I'm needin', needin'  Every heartbreak makes it hard to keep the faith  But baby, I just need one good one  Good one, good one, good one, good one, good one    [Chorus]  When I bow down to pray  I try to make the worst seem better  Lord, show me the way  To cut through all his worn out leather  I've got a hundred million reasons to walk away  But baby, I just need one good one, good one  Tell me that you'll be the good one, good one  Baby, I just need one good one to stay",Joanne,"Lady Gaga, Mark Ronson, Hillary Lindsey",3:25,2016,16651869,https://www.last.fm/music/Lady+Gaga/JOANNE+(Deluxe)
32,Money Honey,"That's M O N E Y, so sexy, I    Damn, I love the Jag, the jet and the mansion  Oh yeah  And I enjoy the gifts and trips to the islands  Oh yeah    It's good to live expensive you know it  But my knees get weak, intensive    When you give me k-kisses  That's money, honey  When I'm your lover and your mistress  That's money, honey    When you touch me it's so delicious  That's money, honey  Baby, when you tear me to pieces  That's money, honey    That's M O N E Y, so sexy, I  That's money, honey    Damn, I'd love a boat by the beach on the west coast  Oh yeah  And I'd enjoy some fine champagne while my girls toast  Oh yeah    It's good to live expensive you know it  But my knees get weak, intensive    When you give me k-kisses  That's money, honey  When I'm your lover and your mistress  That's money, honey    When you touch me it's so delicious  That's money, honey  Baby, when you tear me to pieces  That's money, honey    You know I appreciate the finer things  But it's not what makes me happiest, baby  (I can do without it, babe)  Your tender loving's more than I can handle  Never burn out this candle, baby, baby    K-k-kisses  That's money, honey  When I'm your lover and your mistress  That's money, honey    When you touch me it's so delicious  That's money, honey  Baby, when you tear me to pieces  That's money, honey    When you give me k-kisses  That's money, honey  When I'm your lover and your mistress  That's money, honey    When you touch me it's so delicious  That's money, honey  Baby, when you tear me to pieces  That's money, honey    When you give me k-kisses  That's money, honey  When I'm your lover and your mistress  That's money, honey    When you touch me it's so delicious  That's money, honey  Baby, when you tear me to pieces  That's money, honey    That's M O N E Y, so sexy, I",The Fame,"Lady Gaga, RedOne y Bilal Hajji",2:50,2008,109970686,https://www.last.fm/music/Lady+Gaga/The+Fame
33,Monster,"Don't call me GaGa  I've never seen one like that before  Don't look at me like that  You amaze me    He ate my heart, he a-a-ate my heart (You little monster)  He ate my heart, he a-a-ate my heart out (You amaze me)  He ate my heart, he a-a-ate my heart  He ate my heart, he a-a-ate my heart    Look at him, look at me  That boy is bad, and honestly  He's a wolf in disguise  But I can't stop staring in those evil eyes    I asked my girlfriend if she'd seen you round before  She mumbled something while we got down on the floor baby  We might've fucked not really sure, don't quite recall  But something tells me that I've seen him round before    He's a monster m-m-m-monster  That boy is a monster m-m-m-monster  That boy is a monster m-m-m-monster  That boy is a monster er-er-er-er    He ate my heart (I love that girl)  He ate my heart (I love that girl, she's hot as hell)  He ate my heart (I love that girl)  He ate my heart (wanna talk to her, she's hot as hell)    He licked his lips, said to me  Girl you look good enough to eat  Put his arms around me  Said ""Boy now get your paws right off me""    I asked my girlfriend if she'd seen you round before  She mumbled something while we got down on the floor baby  We might've fucked not really sure, don't quite recall, oh yeah  But something tells me that I've seen him, yeah    He's a monster m-m-m-monster  That boy is a monster m-m-m-monster  That boy is a monster m-m-m-monster  That boy is a monster er-er-er-er    He ate my heart (I love that girl)  He ate my heart (Wanna talk to her, she's hot as hell)  He ate my heart (I love that girl)  He ate my heart (Wanna talk to her, she's hot as hell)    He ate my heart he ate my heart instead he's a monster in my bed    He ate my heart he ate my heart instead he's a monster in my bed    I wanna just dance but he took me home instead  Uh oh! There was a monster in my bed  We french kissed on a subway train  He tore my clothes right off  He ate my heart and then he ate my brain  Uh oh uh oh (I love that girl) (Wanna talk to her, she's hot as hell)    He ate my heart he a-a-a-ate my heart  He ate my heart (Wanna talk to her, she's hot as hell)    That boy is a monster m-m-m-monster  That boy is a monster m-m-m-monster  That boy is a monster m-m-m-monster  That boy is a monster er-er-er-er    That boy is a monster m-m-m-monster  That boy is a monster m-m-m-monster  That boy is a monster m-m-m-monster  That boy is a monster er-er-er-er",The Fame Monster,"Lady Gaga, RedOne & Space Cowboy",4:09,2009,109970686,https://www.last.fm/music/Lady+Gaga/The+Fame+Monster
34,Paparazzi,We are the crowd  We're c-coming out  Got my flash on it's true  Need that picture of you  It's so magical  We'd be so fantastical    Leather and jeans  We're rock glamorous  Not sure what it means  But this photo of us  It don't have a price  Ready for those flashing lights  Cause you know that baby I    [Chorus]  I'm your biggest fan  I'll follow you until you love me  Papa-paparazzi  Baby there's no other superstar  You know that I'll be  Your papa-paparazzi  Promise I'll be kind  But I won't stop until that boy is mine  Baby you'll be famous  Chase you down until you love me  Papa-paparazzi    I'll be a girl backstage at your show  Velvet ropes and guitars  Yeah 'cause you're my  Rockstar in between the sets  Eyeliner and cigarettes    Shadow is burnt  Yellow dance and we turn  My lashes are dry  Purple teardrops I cry it don't have a price  Loving you is cherry pie  Cause you know that baby I    [Chorus]    Real good  (We're dancing in the studio)  Snap snap to  (That shit on the radio)  Don't stop  (For anyone)  We're plastic but we still have fun!    [Chorus],The Fame,Lady Gaga y Rob Fusari,3:28,2008,109970686,https://www.last.fm/music/Lady+Gaga/The+Fame
35,Paper Gangsta,"Midnight rush, with a pen in my hand  Dink in link in, sand-script with a fan  Remembering me, before it began  Sometimes I felt so def in a jam  But the ones who loved me, told me to stop  Like home girl can't catch shit if it drops  A superwoman chick, you know that I am  Some shit don't fly by me in a man    'Cause I do not accept any less  Than someone just as real, as fabulous    Don't want no paper gangsta  Won't sign away my life to  Someone whose got the flavor  But don't have no follow through  Don't want no paper gangsta  Wont sign no monkey papers  I don't do funny business  Not interested in fakers    Don't want no paper gangsta  Oh oh  Don't want no paper gangsta  Oh oh  Don't want no paper gangsta  Don't want no paper gangsta    Got something really shiny to start  Want me to sign there on your range rover heart?  I've heard it before  Yeah, the dinners were nice  Till your diamond words melted into some ice    You should been rapping to the beat of my song Mr. California,  Paper gangsta and I'm lookin' for love, not an  Not an empty page full of stuff that means nothing but  You've been played    'Cause I do not accept any less  Than someone just as real, as fabulous    Don't want no paper gangsta  Won't sign away my life to  Someone whose got the flavor  But don't have no follow through  Don't want no paper gangsta  Wont sign no monkey papers  I don't do funny business  Not interested in fakers    Don't want no paper gangsta  Oh oh  Don't want no paper gangsta  Oh oh  Don't want no paper gangsta  Don't want no paper gangsta    Don't want no paper gangsta  Won't sign away my life to  Someone whose got the flavor  But don't have no follow through  Don't want no paper gangsta  Wont sign no monkey papers  I don't do funny business  Not interested in fakers    Don't want no paper gangsta  Won't sign away my life to  Someone whose got the flavor  But don't have no follow through  Don't want no paper gangsta  Wont sign no monkey papers  I don't do funny business  Not interested in fakers    Don't want no paper gangsta  Oh oh  Don't want no paper gangsta  Oh oh  Don't want no paper gangsta  Don't want no paper gangsta  Don't want no paper gangsta  Don't want no paper gangsta",The Fame,Lady Gaga y RedOne,4:23,2008,109970686,https://www.last.fm/music/Lady+Gaga/The+Fame
36,Sinner's Prayer,"[Verse 1]  I came down the mountain  Draggin' our love affair  Put on a pretty little number  I'm wearing you still  It was a hell of a scene at daddy's feast  Nobody saw it coming, but the little red devil in me  He has a funny way saying forever too fast  Don't get mad, can't blame a tramp  For something he don't have  I get on my knees and beg you    [Chorus]  Hear my sinner's prayer  I am what I am  And I don't wanna break the heart of any other man  But you, but you  Hear my sinner's prayer  It's the only one I know  It sure as hell don't rhyme  But it's as good as, good as, good as, good as gold  [Verse 2]  Got a baby sister who looks just like me  She wants nothing more than a man to please  Maybe she's in too deep  Her love for him ain't cheap  But it breaks just like a knockoff piece  From Fulton Street  The man's got a gift for getting what he wants  He's thirsty when he drinks  Gets on the brink, and throws her off  I get on my knees and beg you    [Chorus]  Hear my sinner's prayer  I am what I am  And I don't wanna break the heart of any other man  But you, but you  Hear my sinner's prayer  It's the only one I know  It sure as hell don't rhyme  But it's as good as, good as, good as, good as gold  Good as, good as, good as, good as gold    [Bridge]  I can carry you, but not your ghosts  Wish I had the faith, but I don't know, oh    [Chorus]  Hear my sinner's prayer  I am what I am  And I don't wanna break the heart of any other man  But you, but you  Hear my sinner's prayer  It's the only one I know  It sure as hell don't rhyme  But it's as good as, good as, good as, good as gold  Good as, good as, good as, good as gold  Good as, good as, good as, good as gold",Joanne,"Lady Gaga, Beck, Mark Ronson, BloodPop",3:27,2016,16651869,https://www.last.fm/music/Lady+Gaga/JOANNE+(Deluxe)
37,So Happy I Could Die,"Eh-eh, eh-eh ye-ha, ye-ha  Eh-eh, eh-eh aha-aha  Eh-eh, eh-eh ye-ha, ye-ha  Eh-eh, eh-eh aha-aha    I love that lavender blond  The way she moves the way she walks  I touch myself can't get enough  And in the silence of the night  Through all the tears and all the lies  I touch myself and it's alright    Just give in don't give up baby  Open up your heart and your mind to me    Just know when that glass is empty  That the world is gonna bend    Happy in the club with a bottle of red wine  Stars in our eyes 'cause we're having a good time eh-eh eh-eh    So happy I could die be your best friend  Yeah I'll love you forever  Up in the clouds we'll be higher than ever eh-eh, eh-eh    So happy I could die and it's alright  Eh-eh, eh-eh ye-ha, ye-ha  Eh-eh, eh-eh aha-aha  Eh-eh, eh-eh ye-ha, ye-ha  Eh-eh, eh-eh aha-aha    I am as vain as I allow I do my hair  I gloss my eyes I touch myself all through the night  And when something falls out of place  I take my time I put it back  I touch myself 'til I'm on track    Just give in don't give up baby  Open up your heart and your mind to me    Just know when that glass is empty  That the world is gonna bend    Happy in the club with a bottle of red wine  Stars in our eyes 'cause we're having a good time    So happy I could die be your best friend  Yeah I'll love you forever  Up in the clouds we'll be higher than ever eh-eh, eh-eh    So happy I could die and it's alright  So happy I could die and it's alright  So happy I could die and it's alright    Eh-eh, eh-eh ye-ha, ye-ha  Eh-eh, eh-eh aha-aha  Eh-eh, eh-eh ye-ha, ye-ha  Eh-eh, eh-eh aha-aha    Happy in the club with a bottle of red wine  Stars in our eyes 'cause we're having a good time    So happy I could die be your best friend  Yeah I'll love you forever  Up in the clouds we'll be higher than ever eh-eh, eh-eh    So happy I could die and it's alright    Happy in the club with a bottle of red wine  Stars in our eyes 'cause we're having a good time    So happy I could die be your best friend  Yeah I'll love you forever  Up in the clouds we'll be higher than ever eh-eh, eh-eh    So happy I could die and it's alright",The Fame Monster,"Lady Gaga, RedOne & Space Cowboy",3:55,2009,109970686,https://www.last.fm/music/Lady+Gaga/The+Fame+Monster
38,Speechless,"How, how, how, how, how    I can't believe what you said to me  Last night when we were alone  You threw your arms up  Baby you gave up, you gave up    I can't believe how you looked at me  With your James Dean glossy eyes  In your tight jeans with your long hair  And your cigarette stained lies    Could we fix you if you broke?  And is your punch line just a joke?    I'll never talk again  Oh boy you've left me speechless  You've left me speechless, so speechless  And I'll never love again  Oh boy you've left me speechless  You've left me speechless, so speechless    I can't believe how you slurred at me  With your half wired broken jaw  You popped my heart seams  All my bubble dreams, bubble dreams    I can't believe how you looked at me  With your Johnnie Walker eyes  He's gonna get you and after he's through  There's gonna be no love left to rye    And I know that it's complicated  But I'm a loser in love  So baby raise a glass to mend  All the broken hearts  Of all my wrecked up friends    I'll never talk again  Oh boy you've left me speechless  You've left me speechless, so speechless    I'll never love again  Oh friend you've left me speechless  You've left me speechless, so speechless    How? Ha-ooh-wow? H-ow? Wow  Ha-ooh-wow? H-ow? Wow    And after all the drinks and bars that we've been to  Would you give it all up?  Could I give it all up for you?    And after all the boys and the girls that we've been through  Would you give it all up?  Could you give it all up?    If I promised boy to you  That I'll never talk again  And I'll never love again  I'll never write a song  Won't even sing along  I'll never love again    How, how, how so speechless  You left me speechless, so speechless baby    Will you ever talk again?  Oh boy, why you so speechless?  You've left me speechless, so speechless    Some men may follow me  But you choose ""death and company""  Why you so speechless? Oh oh oh",The Fame Monster,Lady Gaga,4:31,2009,109970686,https://www.last.fm/music/Lady+Gaga/The+Fame+Monster
39,Teeth,"Don't be scared  I've done this before  Show me your teeth  Show me your teeth  Show me your teeth    Don't want no money (want your money)  That shit's is ugly  Just want your sex (want your sex)  Take a bite of my bad girl meat (bad girl meat)  Take a bite my me  Show me your teeth (let me see your mean)    Got no direction (no direction)  I need direction  Just got my vamp (got my vamp)    Take a bite of my bad girl meat (bad girl meat)  Take a bite of me boy  Show me your teeth (the truth is sexy)    Tell me something that'll save me  I need a man who makes me alright (man who makes me alright)  Tell me something that'll change me  I'm gonna love you with my hands tied    Show me your teeth (just tell me when)  Show me your teeth (open your mouth boy)  Show me your teeth (show me whatcha got)  Show me your teeth, teeth, teeth, teeth    Got no salvation (no salvation)  Got no salvation  Got no religion (no religion)  My religion is you  Take a bite of my bad girl meat (bad girl meat)  (Take a bite of me boy) show me your teeth  I'm a tough bitch    Got my addictions (my addictions)  And I love to fix 'em (and I love to fix 'em)  No one's perfect  Take a bite of my bad girl meat (bad girl meat)  (Take a bite of me boy) show me your teeth  I just need a little guidance    Tell me something that'll save me  I need a man who makes me alright (man who makes me alright)  Just tell me when it's alright  Tell me something that'll change me  I'm gonna love you with my hands tied    Show me your teeth (just tell me when)  Show me your teeth (open your mouth boy)  Show me your teeth (show me whatcha got)  Show me your teeth, teeth, teeth, teeth  Show me your teeth    How (my religion is you)  How (my religion is you)    Help need a man  Now show me your fangs (my religion is you)  Help need a man  Now show me your fangs (my religion is you)  Help need a man  Now show me your fangs (my religion is you)  Help need a man  Now show me your fangs  Help need a man  Now show me your fangs  Help need a man  Now show me your fangs  Help need a man  Now show me your fangs  Help need a man  Now show me your fangs    Tell me something that'll save me  I need a man who makes me alright (man who makes me alright)  Just tell me it's alright  Tell me something that'll change me  I'm gonna love you with my hands tied    Show me your teeth (just tell me when)  Show me your teeth (open your mouth boy)  Show me your teeth (show me whatcha got)  Show me your teeth teeth, teeth, teeth  Show me your teeth  It's not how big, it's how mean  How, how    It's not how big, it's how mean  Show me your teeth, show me your teeth  Show me your teeth, show me your teeth  Show me your teeth, open your mouth boy  Show me your teeth, show me your teeth  My religion is you  Show me your teeth, teeth, teeth, teeth  Show me your teeth, show me your teeth  I just need a little guidance  Show me your teeth, show me your teeth  Show me your teeth, show me your teeth  Show me your teeth, teeth, teeth, teeth",The Fame Monster,Lady Gaga,-,2009,109970686,https://www.last.fm/music/Lady+Gaga/The+Fame+Monster
40,Telephone,"Hello, hello, baby  You called, I can't hear a thing  I have got no service  In the club, you see, see  Wha-wha-what did you say?  Oh, you're breaking up on me  Sorry, I cannot hear you  I'm kinda busy    K-kinda busy  K-kinda busy  Sorry, I cannot hear you  I'm kinda busy    Just a second  It's my favorite song they're gonna play  And I cannot text you with  A drink in my hand, eh  You shoulda made some plans with me  You knew that I was free  And now you won't stop calling me  I'm kinda busy    Stop callin', stop callin'  I don't wanna think any more  I left my head and heart on the dance floor  Stop callin', stop callin'  I don't wanna talk anymore  It's got my head and my heart on the dance floor    Eh, eh, eh, eh, eh, eh, eh, eh, eh, eh  Stop telephonin' me  Eh, eh, eh, eh, eh, eh, eh, eh, eh  I'm busy, eh, eh, eh, eh, eh, eh, eh, eh  Stop telephonin' me  Eh, eh, eh, eh, eh, eh, eh    Call all you want, but there's no one home  And you're not gonna reach my telephone  Out in the club, and I'm sippin' that bub  And you're not gonna reach my telephone    Call all you want  But there's no one home  And you're not gonna reach my telephone  Out in the club, and I'm sippin' that bub  And you're not gonna reach my telephone    Boy, the way you blowin' up my phone  Won't make me leave no faster  Put my coat on faster  Leave my girls no faster  I shoulda left my phone at home  'Cause this is a disaster  Callin' like a collector  Sorry, I cannot answer    Not that I don't like you  I'm just at a party  And I am sick and tired  Of my phone ringin'  Sometimes I feel like  I live in Grand Central Station  Tonight I'm not takin' no calls  'Cause I'll be dancin'    'Cause I'll be dancin'  'Cause I'll be dancin'  Tonight I'm not takin' no calls  'Cause I'll be dancin'    Stop callin', stop callin'  I don't wanna think any more  I left my head and my heart on the dance floor  Stop callin', stop callin'  I don't wanna talk any more  I left my head and my heart on the dance floor    Stop callin', stop callin'  I don't wanna think any more  I left my head and my heart on the dance floor  Stop callin', stop callin'  I don't wanna talk any more  I left my head and my heart on the dance floor    Eh, eh, eh, eh, eh, eh, eh, eh, eh, eh  Stop telephonin' me  Eh, eh, eh, eh, eh, eh, eh, eh, eh  I'm busy, eh, eh, eh, eh, eh, eh, eh  Stop telephonin' me  Eh, eh, eh, eh, eh, eh, eh    Can call all you want  But there's no one home  You're not gonna reach my telephone  'Cause I'm out in the club  And I'm sippin' that bub,  And you're not gonna reach my telephone    Call when you want  But there's no one home  And you're not gonna reach my telephone  'Cause I'm out in the club  And I'm sippin' that bub  And you're not gonna reach my telephone    My telephone  M-m-my telephone  'Cause I'm out in the club  And I'm sippin' that bub  And you're not gonna reach my telephone    My telephone  M-m-my telephone  'Cause I'm out in the club  And I'm sippin' that bub,  And you're not gonna reach my telephone    We're sorry the number you have reached is not in service at this time  Please check the number, or try your call again",The Fame Monster,"Lady Gaga, Lazonate Franklin, Lashawn Daniels, Darkchild & Beyoncé",3:41,2009,109970686,https://www.last.fm/music/Lady+Gaga/The+Fame+Monster
